accel_z_mean,accel_z_std,gyro_z_mean,gyro_z_std,pitch_angle_mean,current_mean,max_current,pwm_val,Label
-10.379898921064303,4.529146869218276,22.159834026475224,20.01937426778905,-5.4200044674262235,1.8109501124661138,2.149324595336631,220,Gravel
-9.923238980443118,0.2697976275685303,1.2870647736567555,0.7934964648729429,-8.662466752525466,2.081657121023838,2.5359731268020487,220,Smooth Inclined
-9.364449455494587,5.588280059494809,12.703685321519053,27.999347957667872,-1.5353073305721718,1.659088002413577,1.9765098799565601,220,Rough
-10.480647802292841,3.919959254823672,-2.5916626134967595,24.025234510078388,-2.9282919819728352,1.8080826947970952,2.220352107523546,220,Rough
-9.22230631924618,5.878332524577191,1.488566553318523,16.077075927332974,-1.857079573249049,1.6577883758614211,1.98285504102583,220,Gravel
-9.993051775648686,2.5531287138531007,4.808002211703083,9.105391342818686,-3.707953476292872,1.8778338868883537,2.3321561016836028,220,Grass
-9.146,5.796,2.19,30.731,-3.141,1.723,2.086,220,Gravel
-9.14932114667071,5.695314142630217,3.633973053468269,29.423806688783642,-3.274526676686065,1.7278163199996457,2.1069161120307083,220,Gravel
-9.709039120256918,4.70176523426927,8.850059862990028,20.48325881512549,-2.1081562246968617,1.7350619800798792,2.1477913312022987,220,Rough
-9.966913096777155,2.7468253860039664,4.965868062624793,9.463526169552736,-3.7541987865463176,1.7794118528025262,2.378730548297944,220,Grass
-9.052920572609075,6.130446364389057,1.974681464815382,44.131546647254424,-3.749335005203767,1.7097684460052904,2.0404389278501744,220,Gravel
-9.937159169653459,0.060962717919473206,2.3300236656806734,0.3880006434514808,-8.5542936131054,1.6647492360224898,2.345693652297189,212,Smooth Inclined
-9.982378126198972,3.5552806725099746,-0.4685117254939941,4.0345613719934015,-6.67740027052846,1.4307025148388357,1.6800205936597863,220,Smooth
-10.179331572797775,4.456162514792638,1.2131337263465598,18.306323020465236,-4.15812795032433,1.6599108422030364,1.982117025545631,220,Gravel
-8.379509333997012,6.2644986221152905,3.3440036051418005,26.436266668852628,-4.965241098374747,1.5721711760949246,1.9392315811803802,220,Gravel
-9.069485201744069,5.739943329739761,10.106522219044574,42.856166888142546,-3.8609006549768345,1.7587248412960055,2.0888263047632605,220,Gravel
-9.769372022921077,1.1826864853188421,4.319940970105551,11.57191427818416,-7.824611011469679,1.9925678847804567,2.3446977899555086,220,Grass
-10.01,3.453,5.561,19.392,-6.13,1.748,2.089,220,Grass
-8.469182004767786,6.288623644120657,6.849179580196199,27.217218568933205,-4.948949932331552,1.600382435133608,1.969068701063395,220,Gravel
-9.77560228755654,0.941031575727036,1.8212427394589021,1.1137097719284597,-6.6380413663800875,0.9067454264442187,1.772741116549878,146,Grass
-9.936,3.497,-0.675,4.248,-6.729,1.417,1.676,220,Smooth
-10.048103730537976,4.113164237251297,19.26963568367207,27.878107774508845,-5.076393435734899,1.8375454828577866,2.250642880830603,220,Rough
-9.919387541241084,0.16839497377490792,1.156774631683235,1.345084021192637,-9.06793879374378,1.7751710329745294,2.362399931356137,212,Smooth Inclined
-10.029519069323417,1.7580743247686037,4.281663364851401,14.110658654570777,-6.032645384383503,1.8565882779808007,2.2150778175319528,220,Grass
